Rk,Player,Age,Team,Pos,GP,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,upload
45,Kevin Hodson,27,TBL,G,24,2,7,4,47,327,280,.856,3.67,0,768:50,150,-15.7,4.14,0.3,0,0,0,2,,hodsoke01
46,Roberto Luongo,20,NYI,G,24,7,14,1,70,730,660,.904,3.25,1,1292:23,100,-0.2,3.71,4.4,0,0,0,0,,luongro01
47,Steve Passmore,27,CHI,G,24,7,12,3,63,654,591,.904,2.72,1,1388:22,101,-0.5,3.11,3.9,0,0,0,9,,passmst01
48,Marc Denis,22,COL,G,23,9,8,3,51,618,567,.917,2.54,3,1203:28,86,8.1,2.89,4.6,0,2,2,6,,denisma01
49,Grant Fuhr,37,CGY,G,23,5,13,2,77,536,459,.856,3.83,0,1204:52,150,-25.8,4.38,0.5,0,0,0,2,,fuhrgr01
50,Kirk McLean,33,NYR,G,22,7,8,4,58,558,500,.896,2.89,0,1205:40,109,-4.7,3.28,2.9,0,1,1,2,,mcleaki01
51,Glenn Healy,37,TOR,G,20,9,10,0,59,527,468,.888,3.04,2,1163:30,117,-8.6,3.46,2.3,0,1,1,2,,healygl01
52,Dominic Roussel,29,MDA,G,20,6,5,3,52,445,393,.883,3.16,1,988:00,122,-9.5,3.58,1.7,0,0,0,6,,roussdo01
53,Pēteris Skudra,26,PIT,G,20,5,7,3,48,374,326,.872,3.12,1,922:16,134,-12.2,3.58,0.9,0,0,0,0,,skudrpe01
54,Jamie McLennan,28,STL,G,19,9,5,2,33,341,308,.903,1.96,2,1008:56,101,-0.4,2.20,2.0,0,0,0,2,,mclenja01
55,Scott Fankhouser,24,ATL,G,16,2,11,2,49,451,402,.891,3.20,0,919:51,114,-5.9,3.65,2.1,0,0,0,4,,fankhsc01
56,Bill Ranford,33,EDM,G,16,4,6,3,47,407,360,.885,3.59,0,785:28,121,-8.1,4.05,1.6,0,0,0,2,,ranfobi01
57,Scott Langkow,24,ATL,G,15,3,11,0,55,395,340,.861,4.31,0,765:07,146,-17.2,4.94,0.5,0,0,0,0,,langksc01
58,Rich Parent,27,TBL,G,14,2,7,1,43,353,310,.878,3.70,0,697:49,127,-9.3,4.21,1.1,0,0,0,2,,parenri01
59,Dwayne Roloson,30,BUF,G,14,1,7,3,32,277,245,.884,2.84,0,677:10,121,-5.5,3.19,1.1,0,0,0,0,,rolosdw01
60,Craig Billington,33,WSH,G,13,3,6,1,28,310,282,.910,2.75,2,611:21,94,1.6,3.14,2.1,0,0,0,0,,billicr01
61,Zac Bierk,23,TBL,G,12,4,4,1,31,308,277,.899,3.66,0,508:42,105,-1.6,4.13,1.7,0,1,1,0,,bierkza01
62,Chris Terreri,35,NJD,G,12,2,9,0,37,299,262,.876,3.42,0,648:52,129,-8.4,3.88,0.9,0,0,0,2,,terrech01
63,Evgeni Nabokov,24,SJS,G,11,2,2,1,15,166,151,.910,2.17,1,414:02,95,0.9,2.46,1.1,0,0,0,0,,nabokev01
64,Éric Fichaud,24,CAR,G,9,3,5,1,24,206,182,.883,2.94,1,489:58,122,-4.3,3.31,0.8,0,0,0,2,,fichaer01
65,Robert Esche,22,PHX,G,8,2,5,0,23,215,192,.893,3.38,0,408:20,112,-2.4,3.82,1.0,0,0,0,4,,eschero01
66,Jean-Sébastien Giguère,22,CGY,G,7,1,3,1,15,175,160,.914,2.72,0,330:17,90,1.7,3.09,1.3,0,0,0,2,,gigueje01
67,Corey Schwab,29,VAN,G,6,2,1,1,16,115,99,.861,3.57,0,268:33,146,-5.0,4.02,0.2,0,0,0,2,,schwaco01
68,Steve Valiquette,22,NYI,G,6,2,0,0,6,117,111,.949,1.87,0,192:49,54,5.2,2.18,1.3,0,0,0,0,,valiqst01
69,Marcel Cousineau,26,LAK,G,5,1,1,0,6,64,58,.906,2.11,0,170:38,98,0.1,2.46,0.4,0,0,0,0,,cousima01
70,Dieter Kochan,25,TBL,G,5,1,4,0,17,111,94,.847,4.28,0,238:04,160,-6.4,4.79,0.0,0,0,0,0,,kochadi01
71,Daren Puppa,34,TBL,G,5,1,2,0,19,129,110,.853,4.58,0,248:59,154,-6.7,5.30,0.1,0,0,0,2,,puppada01
72,Wade Flaherty,32,NYI,G,4,0,1,1,7,81,74,.914,2.31,0,181:46,90,0.7,2.64,0.6,0,0,0,0,,flahewa01
73,Manny Legace,26,DET,G,4,4,0,0,11,117,106,.906,2.75,0,239:36,98,0.2,3.01,0.7,0,0,0,0,,legacma01
74,Mark Fitzpatrick,31,CAR,G,3,0,2,0,8,68,60,.882,4.48,0,107:05,123,-1.5,5.04,0.3,0,0,0,0,,fitzpma01
75,Rick Tabaracci,31,2TM,G,3,1,1,0,6,50,44,.880,3.01,0,119:29,126,-1.2,3.52,0.2,0,0,0,0,,tabarri01
75,Rick Tabaracci,31,ATL,G,1,0,1,0,4,32,28,.875,4.07,0,59:02,131,-0.9,5.08,0.1,0,0,0,0,,tabarri01
75,Rick Tabaracci,31,COL,G,2,1,0,0,2,18,16,.889,1.99,0,60:27,116,-0.3,1.99,0.1,0,0,0,0,,tabarri01
76,Milan Hnilička,26,NYR,G,2,0,1,0,5,44,39,.886,3.48,0,86:07,119,-0.8,4.18,0.2,0,0,0,0,,hnilimi01
77,Marc Lamothe,25,CHI,G,2,1,1,0,10,50,40,.800,5.16,0,116:11,209,-5.2,5.68,-0.3,0,0,0,0,,lamotma01
78,Alfie Michaud,23,VAN,G,2,0,1,0,5,27,22,.815,4.32,0,69:23,194,-2.4,5.19,-0.1,0,0,0,0,,michaal01
79,Mike Fountain,28,OTT,G,1,0,0,0,1,6,5,.833,3.87,0,15:30,174,-0.4,3.87,0.0,0,0,0,0,,fountmi01
80,Jani Hurme,25,OTT,G,1,1,0,0,2,19,17,.895,2.00,0,60:00,110,-0.2,2.00,0.1,0,0,0,0,,hurmeja01
81,Jean-François Labbé,27,NYR,G,1,0,1,0,3,22,19,.864,3.00,0,60:00,143,-0.9,3.00,0.0,0,0,0,0,,labbeje01
82,Mike Minard,23,EDM,G,1,1,0,0,3,36,33,.917,3.00,0,60:00,87,0.4,3.00,0.3,0,0,0,0,,minarmi01
83,Richard Shulmistra,28,FLA,G,1,1,0,0,1,21,20,.952,1.00,0,60:00,50,1.0,1.00,0.2,0,0,0,0,,shulmri01
