Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,-9999
199,Ottawa Senators,Joey Daccord,US,G,19,2026,Cushing Academy (High-MA),173,0,5,5,0,4,173,69,70,24,.903,2.83,30.4,daccojo01
200,Detroit Red Wings,Adam Marsh,US,LW,18,,Saint John Sea Dogs (QMJHL),,,,,,,,,,,,,,marshad01
201,Minnesota Wild,Gustav Bouramman,SE,D,18,,Soo Greyhounds (OHL),,,,,,,,,,,,,,bouragu01
202,New York Islanders,Petter Hansson,SE,D,19,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,hansspe01
203,Winnipeg Jets,Matteo Gennaro,CA,C,18,,Prince Albert Raiders (WHL),,,,,,,,,,,,,,gennama01
204,Minnesota Wild,Jack Sadek,US,D,18,,Lakeville North HS (High-MN),,,,,,,,,,,,,,sadekja01
205,Nashville Predators,Evan Smith,US,G,18,,Austin Bruins (NAHL),,,,,,,,,,,,,,smithev01
206,Florida Panthers,Ryan Bednard,US,G,18,,Johnstown Tomahawks (NAHL),,,,,,,,,,,,,,bednary01
207,Montreal Canadiens,Jeremiah Addison,CA,LW,18,,Ottawa 67's (OHL),,,,,,,,,,,,,,addisje01
208,Edmonton Oilers,Miroslav Svoboda,CZ,G,20,,HC Ocelari Triec Jr. (Czech Jr.),,,,,,,,,,,,,,svobomi01
209,Edmonton Oilers,Ziyat Paigin,RU,D,20,,Ak Bars Kazan (Russia),,,,,,,,,,,,,,paigizi01
210,Vancouver Canucks,Tate Olson,CA,D,18,,Prince George Cougars (WHL),,,,,,,,,,,,,,olsonta01
211,Chicago Blackhawks,John Dahlstrom,SE,RW,18,,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,,,,dahlsjo01


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Hockey-Reference.com</a>: <a href="https://www.hockey-reference.com/draft/NHL_2015_entry.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats">View Original Table</a><br>Generated 4/28/2026.
