Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
199,Philadelphia Flyers,David Bernhardt,SE,D,18,,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,,,,bernhda02
200,New York Islanders,David Quenneville,CA,D,18,,Medicine Hat Tigers (WHL),,,,,,,,,,,,,,quennda01
201,New York Rangers,Ty Ronning,CA,RW,18,,Vancouver Giants (WHL),,,,,,,,,,,,,,ronnity01
202,Los Angeles Kings,Jacob Friend,CA,D,19,,Owen Sound Attack (OHL),,,,,,,,,,,,,,frienja01
203,Chicago Blackhawks,Jake Ryczek,US,D,18,,Waterloo Black Hawks (USHL),,,,,,,,,,,,,,ryczeja01
204,Minnesota Wild,Brayden Chizen,CA,D,18,,Kelowna Rockets (WHL),,,,,,,,,,,,,,chizebr01
205,Anaheim Ducks,Tyler Soy,CA,C,19,,Victoria Royals (WHL),,,,,,,,,,,,,,soyty01
206,Tampa Bay Lightning,Otto Somppi,FI,C,18,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,,,somppot01
207,Washington Capitals,Dmitriy Zaitsev,RU,D,18,,Wilkes-Barre/Scranton Knights (NAHL),,,,,,,,,,,,,,zaitsdm01
208,Tampa Bay Lightning,Ryan Lohin,US,C,20,,Waterloo Black Hawks (USHL),,,,,,,,,,,,,,lohinry01
209,St. Louis Blues,Nikolaj Krag Christensen,DK,C/LW,18,,Rodovre (Denmark),,,,,,,,,,,,,,kragcni01
210,San Jose Sharks,Joachim Blichfeld,DK,W,18,2021,Malmo Jr. (Sweden Jr.),8,1,0,1,-4,14,,,,,,,-0.1,blichjo01
211,St. Louis Blues,Filip Helt,CZ,LW,18,,HC Litvinov Jr. (Czech Jr.),,,,,,,,,,,,,,heltfi01


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool&__hstc=88549636.6d0eeb1e82ebff62514398b99afb1ea0.1776728283606.1776960117908.1777391965638.3&__hssc=88549636.10.1777391965638&__hsfp=0f0cd74dc3492489630a79cc6432cfce">Hockey-Reference.com</a>: <a href="https://www.hockey-reference.com/draft/NHL_2016_entry.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats">View Original Table</a><br>Generated 4/28/2026.
