Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
202,Nashville Predators,Gunnarwolfe Fontaine,US,LW,19,,Chicago Steel (USHL),,,,,,,,,,,,,,fontagu01
203,Detroit Red Wings,Chase Bradley,US,LW,18,2025,Omaha Lancers (USHL),2,0,0,0,0,0,,,,,,,0.0,bradlch01
204,Arizona Coyotes,Ben McCartney,CA,LW,19,2022,Brandon Wheat Kings (WHL),2,0,0,0,0,4,,,,,,,0.0,mccarbe02
205,Calgary Flames,Ilya Solovyov,BY,D,20,2026,Saginaw Spirit (OHL),45,1,11,12,-6,22,,,,,,,1.3,solovil01
206,San Jose Sharks,Linus Oberg,SE,C,20,,Orebro HK (Sweden),,,,,,,,,,,,,,obergli01
207,Anaheim Ducks,Ethan Bowen,CA,C,18,,Chilliwack (BCHL),,,,,,,,,,,,,,bowenet01
208,Carolina Hurricanes,Ronan Seeley,CA,D,18,2026,Everett Silvertips (WHL),1,0,0,0,0,0,,,,,,,0.0,seelero01
209,Nashville Predators,Chase McLane,US,C,20,,Tri-City Storm (USHL),,,,,,,,,,,,,,mclanch01
210,San Jose Sharks,Timofey Spitserov,RU,RW,18,,Culver Military Academy (High-IN),,,,,,,,,,,,,,spitsti01
211,Washington Capitals,Oskar Magnusson,SE,LW,18,,Malmo Jr. (Sweden Jr.),,,,,,,,,,,,,,magnuos01
212,Florida Panthers,Devon Levi,CA,G,18,2025,Carleton Place (CCHL),39,0,0,0,0,0,39,17,17,2,.894,3.29,5.7,levide01
213,Toronto Maple Leafs,Ryan Tverberg,CA,C,18,2026,Toronto (OJHL),2,0,0,0,1,2,,,,,,,0.0,tverbry01
214,New York Islanders,Henrik Tikkanen,FI,G,19,,HIFK Jr. (Finland Jr.),,,,,,,,,,,,,,tikkahe01
215,Vegas Golden Knights,Maxim Marushev,RU,C,21,,Bars Kazan (Russia-2),,,,,,,,,,,,,,marusma01
216,Buffalo Sabres,Jakub Konecny,CZ,C,18,,HC Sparta Praha Jr. (Czech Jr.),,,,,,,,,,,,,,konecja01
217,Tampa Bay Lightning,Declan McDonnell,US,RW,18,,Kitchener Rangers (OHL),,,,,,,,,,,,,,mcdonde01


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Hockey-Reference.com</a>: <a href="https://www.hockey-reference.com/draft/NHL_2020_entry.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats">View Original Table</a><br>Generated 4/28/2026.
