Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,-9999
204,Arizona Coyotes,Adam Zlnka,SK,RW,18,,Sioux Falls Stampede (USHL),,,,,,,,,,,,,,zlnkaad01
205,Carolina Hurricanes,Alexander Pelevin,RU,D,18,,Chaika Nizhny Novgorod (Russia Jr.),,,,,,,,,,,,,,peleval01
206,Ottawa Senators,Tyson Dyck,CA,C,18,,Cranbrook (BCHL),,,,,,,,,,,,,,dyckty01
207,Winnipeg Jets,Domenic Divincentiis,CA,G,18,,North Bay Battalion (OHL),,,,,,,,,,,,,,divindo01
208,Vancouver Canucks,Kirill Kudryavtsev,RU,D,18,2026,Soo Greyhounds (OHL),5,0,2,2,3,0,,,,,,,0.5,kudryki01
209,Vegas Golden Knights,Abram Wiebe,CA,D,19,2026,Chilliwack (BCHL),4,0,0,0,0,2,,,,,,,0.1,wiebeab01
210,Nashville Predators,Ben Strinden,US,C,20,,Muskegon Lumberjacks (USHL),,,,,,,,,,,,,,strinbe01
211,Buffalo Sabres,Linus Sjodin,SE,C,19,,Rogle BK (Sweden),,,,,,,,,,,,,,sjodili01
212,Detroit Red Wings,Brennan Ali,US,C,18,,Avon Old Farms School (High-CT),,,,,,,,,,,,,,alibr01
213,Washington Capitals,David Gucciardi,CA,D,19,,Michigan State (Big Ten),,,,,,,,,,,,,,guccida01
214,Florida Panthers,Liam Arnsby,CA,C,18,,North Bay Battalion (OHL),,,,,,,,,,,,,,arnsbli01
215,Los Angeles Kings,Kaleb Lawrence,CA,RW,19,,Owen Sound Attack (OHL),,,,,,,,,,,,,,lawreka01
216,Montreal Canadiens,Miguel Tourigny,CA,D,20,,Acadie-Bathurst Titan (QMJHL),,,,,,,,,,,,,,tourimi01
217,San Jose Sharks,Reese Laubach,US,C,18,,Northstar Christian Academy (High-MN),,,,,,,,,,,,,,laubare01
218,Toronto Maple Leafs,Brandon Lisowsky,CA,LW,18,,Saskatoon Blades (WHL),,,,,,,,,,,,,,lisowbr01
219,Calgary Flames,Cade Littler,US,C,18,,Wenatchee (BCHL),,,,,,,,,,,,,,littlca01
220,Philadelphia Flyers,Alexis Gendron,CH,RW,18,,Blainville-Boisbriand Armada (QMJHL),,,,,,,,,,,,,,gendral01
221,Florida Panthers,Jack Devine,US,RW,18,2026,Denver (NCHC),6,0,0,0,-3,2,,,,,,,-0.2,devinja01
222,Edmonton Oilers,Joel Maatta,FI,C,20,,Vermont (H-East),,,,,,,,,,,,,,maattjo01
223,Tampa Bay Lightning,Dyllan Gill,CA,D,18,,Rouyn-Noranda Huskies (QMJHL),,,,,,,,,,,,,,gilldy01
224,Tampa Bay Lightning,Klavs Veinbergs,LV,LW,19,,HK Riga (Russia Jr.),,,,,,,,,,,,,,veinbkl01
225,Colorado Avalanche,Ivan Zhigalov,BY,G,19,,Sherbrooke Phoenix (QMJHL),,,,,,,,,,,,,,zhigaiv01


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Hockey-Reference.com</a>: <a href="https://www.hockey-reference.com/draft/NHL_2022_entry.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats">View Original Table</a><br>Generated 4/28/2026.
