Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
104,Washington Capitals,Patrick Thomas,CA,C,19,,Hamilton Bulldogs (OHL),,,,,,,,,,,,,,thomapa01
105,Vancouver Canucks,Ty Mueller,CA,C,20,2026,Nebraska-Omaha (NCHC),8,1,0,1,1,4,,,,,,,0.1,muellty01
106,St. Louis Blues,Jakub Stancl,CZ,C,18,,Vaxjo Jr. (Sweden-Jr.),,,,,,,,,,,,,,stancja01
107,Vancouver Canucks,Vilmer Alriksson,SE,LW,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,,alrikvi01
108,Ottawa Senators,Hoyt Stanley,CA,D,18,,Victoria (BCHL),,,,,,,,,,,,,,stanlho01
109,Buffalo Sabres,Ethan Miedema,CA,LW,18,,Kingston Frontenacs (OHL),,,,,,,,,,,,,,miedeet01
110,Montreal Canadiens,Bogdan Konyushkov,RU,D,20,,Nizhny Novgorod (Russia),,,,,,,,,,,,,,konyubo01
111,Nashville Predators,Joey Willis,US,C,18,,Saginaw Spirit (OHL),,,,,,,,,,,,,,willijo02
112,Calgary Flames,Jaden Lipinski,US,C,18,,Vancouver Giants (WHL),,,,,,,,,,,,,,lipinja01
113,New York Islanders,Jesse Nurmi,FI,LW,18,,Kookoo Jr. (Finland-Jr.),,,,,,,,,,,,,,nurmije01
114,Columbus Blue Jackets,Luca Pinelli,CA,C,18,2026,Ottawa 67's (OHL),3,0,0,0,-1,0,,,,,,,-0.1,pinellu01
115,Tampa Bay Lightning,Jayson Shaugabay,US,RW,18,,Warroad (High-MN),,,,,,,,,,,,,,shaugja01
116,Seattle Kraken,Andrei Loshko,BY,C,18,,Chicoutimi Sagueneens (QMJHL),,,,,,,,,,,,,,loshkan01
117,Detroit Red Wings,Larry Keenan,CA,D,18,,Culver Academy (High-IN),,,,,,,,,,,,,,keenala02
118,Los Angeles Kings,Hampton Slukynsky,US,G,18,,Warroad (High-MN),,,,,,,,,,,,,,slukyha01
119,Vancouver Canucks,Matthew Perkins,CA,C,19,,Youngstown (USHL),,,,,,,,,,,,,,perkima01
120,Philadelphia Flyers,Alex Ciernik,DE,LW,18,,Sodertalje (Sweden-2),,,,,,,,,,,,,,ciernal01
121,Nashville Predators,Juha Jatkola,FI,G,21,,Kalpa (Finland),,,,,,,,,,,,,,jatkoju01
122,New Jersey Devils,Cam Squires,CA,RW,18,,Cape Breton Screaming Eagles (QMJHL),,,,,,,,,,,,,,squirca01
123,San Jose Sharks,Luca Cagnoni,CA,D,18,2026,Portland Winter Hawks (WHL),9,0,2,2,-4,10,,,,,,,0.1,cagnolu01
124,Boston Bruins,Beckett Hendrickson,US,C,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,hendrbe01
125,Dallas Stars,Aram Minnetian,US,D,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,minnear01
126,Carolina Hurricanes,Stanislav Yarovoi,RU,RW,20,,Vityaz (Russia),,,,,,,,,,,,,,yarovst01
127,Florida Panthers,Albert Wikman,SE,D,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,,,wikmaal01
128,Montreal Canadiens,Quentin Miller,CA,G,18,,Quebec Remparts (QMJHL),,,,,,,,,,,,,,millequ01
129,Anaheim Ducks,Rodwin Dionicio,US,D,19,,Windsor Spitfires (OHL),,,,,,,,,,,,,,dioniro01
130,San Jose Sharks,Axel Landen,SE,D,18,,Hv 71 Jr. (Sweden-Jr.),,,,,,,,,,,,,,landeax01
131,Chicago Blackhawks,Marcel Marcel,CZ,LW,19,,Gatineau Olympiques (QMJHL),,,,,,,,,,,,,,marcema01
132,San Jose Sharks,Eric Pohlkamp,US,D,19,,Cedar Rapids (USHL),,,,,,,,,,,,,,pohlker01
133,Montreal Canadiens,Sam Harris,US,LW,19,,Sioux Falls (USHL),,,,,,,,,,,,,,harrisa01
134,Arizona Coyotes,Melker Thelin,SE,G,18,,Bjorkloven U18 (Sweden-Jr.),,,,,,,,,,,,,,thelime01
135,Philadelphia Flyers,Carter Sotheran,CA,D,18,,Portland Winter Hawks (WHL),,,,,,,,,,,,,,sotheca01
136,Washington Capitals,Cameron Allen,CA,D,18,,Guelph Storm (OHL),,,,,,,,,,,,,,allenca01
137,Detroit Red Wings,Jack Phelan,US,D,19,,Sioux Falls (USHL),,,,,,,,,,,,,,phelaja01
138,St. Louis Blues,Paul Fischer,US,D,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,fischpa02
139,Carolina Hurricanes,Charles-Alexis Legault,CA,D,20,2026,Quinnipiac (ECAC),12,1,1,2,5,15,,,,,,,0.8,legauch01
140,Ottawa Senators,Matthew Andonovski,CA,D,18,,Kitchener Rangers (OHL),,,,,,,,,,,,,,andonma01
141,Buffalo Sabres,Scott Ratzlaff,CA,G,18,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,ratzlsc01
142,Pittsburgh Penguins,Mikhail Ilyin,RU,RW,18,,Cherepovets Jr. (Russia-Jr.),,,,,,,,,,,,,,ilyinmi01
143,Nashville Predators,Sutter Muzzatti,US,C,20,,RPI (ECAC),,,,,,,,,,,,,,muzzasu01
144,Montreal Canadiens,Yevgeni Volokhin,RU,G,18,,Khanty-Mansiysk Jr. (Russia-Jr.),,,,,,,,,,,,,,volokye01
145,New York Islanders,Justin Gill,CA,C,20,,Sherbrooke Phoenix (QMJHL),,,,,,,,,,,,,,gillju01
146,Winnipeg Jets,Jacob Julien,CA,C,19,,London Knights (OHL),,,,,,,,,,,,,,julieja01
147,Detroit Red Wings,Kevin Bicker,DE,LW,18,,Mannheim Jr. (Germany-Jr.),,,,,,,,,,,,,,bickeke01
148,Seattle Kraken,Kaden Hammell,CA,D,18,,Everett Silvertips (WHL),,,,,,,,,,,,,,hammeka01
149,Minnesota Wild,Aaron Pionk,US,D,20,,Waterloo (USHL),,,,,,,,,,,,,,pionkaa01
150,Los Angeles Kings,Matthew Mania,US,D,18,,Sudbury Wolves (OHL),,,,,,,,,,,,,,maniama01
151,Winnipeg Jets,Thomas Milic,CA,G,20,2026,Seattle Thunderbirds (WHL),3,0,0,0,0,2,3,0,1,0,.871,3.46,0.2,milicth01
152,New York Rangers,Rasmus Larsson,SE,D,19,,Vasteras Jr. (Sweden-Jr.),,,,,,,,,,,,,,larssra01
