Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards,upload
592,Chris O'Sullivan,25,VAN,D,11,0,5,5,2,2,0,0,0,0,3,2,0,16,0.0,169:05,15:22,,osullch01
593,Pavel Patera,28,DAL,C,12,1,4,5,-1,4,1,0,0,0,4,0,0,18,5.6,168:47,14:04,,paterpa01
594,John Slaney,27,PIT,D,29,1,4,5,-10,10,0,1,0,0,3,1,0,27,3.7,354:24,12:13,,slanejo01
595,Steve Staios,26,ATL,RW,27,2,3,5,-5,66,2,0,0,0,3,0,0,38,5.3,351:22,13:01,,staiost01
596,Jamie Wright,23,DAL,LW,23,1,4,5,4,16,1,0,0,0,4,0,0,15,6.7,226:01,9:50,,wrighja01
597,Ted Drury,28,2TM,C,66,3,2,5,-9,37,2,1,0,0,2,0,0,57,5.3,487:25,7:23,,druryte01
597,Ted Drury,28,MDA,C,11,1,1,2,-1,6,1,0,0,0,1,0,0,9,11.1,78:02,7:06,,druryte01
597,Ted Drury,28,NYI,C,55,2,1,3,-8,31,1,1,0,0,1,0,0,48,4.2,409:23,7:27,,druryte01
598,Jamie Allison,24,CHI,D,59,1,3,4,-5,102,1,0,0,0,3,0,0,24,4.2,840:13,14:14,,allisja01
599,Bob Bassen,34,STL,C,27,1,3,4,-3,26,1,0,0,0,3,0,0,26,3.8,265:55,9:51,,bassebo01
600,Ken Belanger,25,BOS,LW,37,2,2,4,-4,44,2,0,0,0,2,0,0,20,10.0,195:46,5:17,,belanke01
601,Brad Bombardir,27,NJD,D,32,3,1,4,-6,6,3,0,0,0,0,1,0,24,12.5,508:36,15:54,,bombabr01
602,Geoff Courtnall,37,STL,LW,6,2,2,4,3,6,2,0,0,1,1,1,0,15,13.3,86:01,14:20,,courtge01
603,Nils Ekman,23,TBL,RW,28,2,2,4,-8,36,1,1,0,0,1,1,0,42,4.8,313:23,11:12,,ekmanni01
604,Chris Ferraro,27,NYI,C,11,1,3,4,1,8,1,0,0,0,2,1,0,15,6.7,104:35,9:30,,ferrach01
605,Alexei Gusarov,35,COL,D,34,2,2,4,-8,10,2,0,0,0,2,0,0,16,12.5,661:30,19:27,,gusaral01
606,Jay Henderson,21,BOS,LW,16,1,3,4,1,9,1,0,0,0,3,0,0,18,5.6,85:58,5:22,,hendeja01
607,Dan Hinote,23,COL,RW,27,1,3,4,0,10,1,0,0,0,2,1,0,14,7.1,212:09,7:51,,hinotda01
608,Joe Hulbig,26,BOS,LW,24,2,2,4,-8,8,2,0,0,0,2,0,0,15,13.3,199:18,8:18,,hulbijo01
609,Brad Lukowich,23,DAL,D,60,3,1,4,-14,50,3,0,0,1,1,0,0,33,9.1,704:25,11:44,,lukowbr01
610,Bryan Marchment,30,SJS,D,49,0,4,4,3,72,0,0,0,0,3,1,0,51,0.0,926:44,18:55,,marchbr02
611,Eddie Olczyk,33,CHI,RW,33,2,2,4,-8,12,2,0,0,0,2,0,0,33,6.1,307:05,9:18,,olczyed01
612,Nolan Pratt,24,CAR,D,64,3,1,4,-22,90,3,0,0,1,1,0,0,47,6.4,1226:39,19:10,,prattno01
613,Rob Ray,31,BUF,LW,69,1,3,4,0,158,1,0,0,0,3,0,0,17,5.9,290:25,4:13,,rayro01
614,Bert Robertsson,25,EDM,D,52,0,4,4,-3,34,0,0,0,0,3,0,1,31,0.0,562:19,10:49,,roberbe01
615,Steve Smith,36,CGY,D,20,0,4,4,-13,42,0,0,0,0,4,0,0,10,0.0,422:18,21:07,,smithst05
616,Jason Strudwick,24,VAN,D,63,1,3,4,-13,64,1,0,0,0,3,0,0,18,5.6,957:50,15:12,,strudja01
617,David Tanabe,19,CAR,D,31,4,0,4,-4,14,1,3,0,0,0,0,0,28,14.3,399:35,12:53,,tanabda01
618,Pascal Trépanier,26,MDA,D,37,0,4,4,2,54,0,0,0,0,2,2,0,33,0.0,417:51,11:18,,trepapa01
619,Sergei Vyshedkevich,25,ATL,D,7,1,3,4,-3,2,0,1,0,0,2,1,0,5,20.0,163:09,23:18,,vyshese01
620,Aaron Ward,27,DET,D,36,1,3,4,-4,24,1,0,0,0,3,0,0,25,4.0,453:26,12:36,,wardaa01
621,Steve Webb,24,NYI,RW,65,1,3,4,-4,103,1,0,0,0,3,0,0,27,3.7,455:13,7:00,,webbst01
622,Landon Wilson,24,BOS,RW,40,1,3,4,-6,18,1,0,0,0,3,0,0,67,1.5,406:12,10:09,,wilsola02
623,Chris McAlpine,28,3TM,D,34,2,2,4,-8,26,2,0,0,0,2,0,0,34,5.9,488:24,14:22,,mcalpch01
623,Chris McAlpine,28,STL,D,21,1,1,2,1,14,1,0,0,0,1,0,0,25,4.0,245:30,11:41,,mcalpch01
623,Chris McAlpine,28,TBL,D,10,1,1,2,-5,10,1,0,0,0,1,0,0,5,20.0,183:53,18:23,,mcalpch01
623,Chris McAlpine,28,ATL,D,3,0,0,0,-4,2,0,0,0,0,0,0,0,4,0.0,59:01,19:40,,mcalpch01
624,Derek Plante,29,2TM,C,33,2,2,4,-5,4,1,1,0,0,2,0,0,31,6.5,294:04,8:55,,plantde01
624,Derek Plante,29,DAL,C,16,1,1,2,-4,2,0,1,0,0,1,0,0,17,5.9,161:26,10:05,,plantde01
624,Derek Plante,29,CHI,C,17,1,1,2,-1,2,1,0,0,0,1,0,0,14,7.1,132:38,7:48,,plantde01
625,Pavel Torgaev,34,2TM,LW,14,0,4,4,1,6,0,0,0,0,3,1,0,18,0.0,172:47,12:21,,torgapa01
625,Pavel Torgaev,34,CGY,LW,9,0,2,2,0,4,0,0,0,0,1,1,0,12,0.0,133:37,14:51,,torgapa01
625,Pavel Torgaev,34,TBL,LW,5,0,2,2,1,2,0,0,0,0,2,0,0,6,0.0,39:10,7:50,,torgapa01
626,Serge Aubin,24,COL,LW,15,2,1,3,1,6,2,0,0,1,1,0,0,14,14.3,99:21,6:37,,aubinse01
627,Ed Belfour,34,DAL,G,62,0,3,3,0,10,0,0,0,0,,,,0,,3620:23,58:24,ASnhl-4Hart-15Vezina-4,belfoed01
628,Radim Bičánek,25,CHI,D,11,0,3,3,7,4,0,0,0,0,3,0,0,8,0.0,202:56,18:27,,bicanra01
629,Dan Boyle,23,FLA,D,13,0,3,3,-2,4,0,0,0,0,2,1,0,9,0.0,220:19,16:57,,boyleda01
630,Aris Brimanis,27,NYI,D,18,2,1,3,-5,6,0,2,0,0,1,0,0,16,12.5,359:51,20:00,,brimaar01
631,Paul Comrie,22,EDM,C,15,1,2,3,-2,4,1,0,0,0,2,0,0,11,9.1,155:09,10:21,,comripa01
632,Gerald Diduck,34,TOR,D,26,0,3,3,2,33,0,0,0,0,3,0,0,18,0.0,400:37,15:25,,diducge01
633,Jonathan Girard,19,BOS,D,23,1,2,3,-1,2,1,0,0,0,2,0,0,17,5.9,219:22,9:32,,girarjo01
634,Yan Golubovsky,23,DET,D,21,1,2,3,3,8,1,0,0,0,2,0,0,7,14.3,187:00,8:54,,golubya01
635,David Gosselin,22,NSH,RW,10,2,1,3,-4,6,2,0,0,0,1,0,0,14,14.3,92:39,9:16,,gosseda01
636,Stu Grimson,34,MDA,LW,50,1,2,3,0,116,1,0,0,0,2,0,0,14,7.1,260:28,5:13,,grimsst01
637,Miloslav Gureň,23,MTL,D,24,1,2,3,-5,12,0,1,0,0,1,1,0,20,5.0,365:42,15:14,,gurenmi01
638,Scott Hannan,21,SJS,D,30,1,2,3,7,10,1,0,0,0,2,0,0,28,3.6,514:20,17:09,,hannasc01
639,Ian Herbers,32,2TM,D,43,0,3,3,-6,47,0,0,0,0,3,0,0,14,0.0,651:21,15:09,,herbeia01
639,Ian Herbers,32,TBL,D,37,0,0,0,-12,45,0,0,0,0,0,0,0,11,0.0,558:30,15:06,,herbeia01
639,Ian Herbers,32,NYI,D,6,0,3,3,6,2,0,0,0,0,3,0,0,3,0.0,92:51,15:29,,herbeia01
