Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
200,Arizona Coyotes,Axel Bergkvist,SE,D,19,,Leksands IF Jr. (Sweden Jr.),,,,,,,,,,,,,,bergkax01
201,Montreal Canadiens,Rafael Harvey-Pinard,CA,LW,20,2026,Rouyn-Noranda Huskies (QMJHL),85,17,14,31,4,16,,,,,,,2.7,harvera01
202,Colorado Avalanche,Trent Miner,CA,G,18,2026,Vancouver Giants (WHL),6,0,0,0,0,0,6,1,1,3,.912,2.19,1.1,minertr01
203,Pittsburgh Penguins,Valtteri Puustinen,FI,RW,20,2025,HPK (Finland),66,7,17,24,2,10,,,,,,,1.8,puustva01
204,Toronto Maple Leafs,Kalle Loponen,FI,D,18,,Hermes (Finland-2),,,,,,,,,,,,,,loponka01
205,New York Rangers,Eric Ciccolini,CA,RW,18,,Toronto (OJHL),,,,,,,,,,,,,,ciccoer01
206,Montreal Canadiens,Kieran Ruscheinski,CA,D,18,,Calgary Northstars Jr. AAA (AMHL),,,,,,,,,,,,,,ruschki01
207,Arizona Coyotes,Valentin Nussbaumer,CH,C,18,,Shawinigan Cataractes (QMJHL),,,,,,,,,,,,,,nussbva01
208,St. Louis Blues,Vadim Zherenko,RU,G,18,,MHK Dynamo Moskva (Russia Jr.),,,,,,,,,,,,,,zhereva01
209,New York Islanders,Cole Coskey,US,RW,20,,Saginaw Spirit (OHL),,,,,,,,,,,,,,coskeco01
210,Nashville Predators,Juuso Parssinen,FI,C,18,2026,TPS Jr. (Finland Jr.),157,22,34,56,-8,56,,,,,,,4.2,parssju01
211,Pittsburgh Penguins,Santeri Airola,FI,D,19,,SaiPa Jr. (Finland Jr.),,,,,,,,,,,,,,airolsa01
212,Columbus Blue Jackets,Tyler Angle,CA,C,18,2024,Windsor Spitfires (OHL),4,1,0,1,-3,0,,,,,,,0.0,anglety01
213,Tampa Bay Lightning,Mckade Webster,US,LW,19,,Green Bay Gamblers (USHL),,,,,,,,,,,,,,webstmc01
214,Calgary Flames,Dustin Wolf,US,G,18,2026,Everett Silvertips (WHL),128,0,3,3,0,6,128,60,52,12,.903,2.85,23.9,wolfdu01
215,Vancouver Canucks,Arvid Costmar,SE,C,18,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,costmar01
216,Carolina Hurricanes,Massimo Rizzo,CA,C,18,,Penticton (BCHL),,,,,,,,,,,,,,rizzoma01
217,St. Louis Blues,Jeremy Michel,CA,LW,18,,Val-d'Or Foreurs (QMJHL),,,,,,,,,,,,,,micheje01
