Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
104,Carolina Hurricanes,Eetu Makiniemi,FI,G,18,2023,Jokerit Jr. (Finland Jr.),2,0,0,0,,0,2,1,0,1,.906,2.13,0.2,makinee01
105,Winnipeg Jets,Santeri Virtanen,FI,C,18,,TPS Jr. (Finland Jr.),,,,,,,,,,,,,,virtasa01
106,Philadelphia Flyers,Matthew Strome,CA,LW,18,,Hamilton Bulldogs (OHL),,,,,,,,,,,,,,stromma01
107,Philadelphia Flyers,Maksim Sushko,BY,RW,18,2021,Owen Sound Attack (OHL),2,0,0,0,-1,0,,,,,,,-0.1,sushkma01
108,Arizona Coyotes,Noel Hoefenmayer,CA,D,18,,Ottawa 67's (OHL),,,,,,,,,,,,,,hoefeno01
109,Calgary Flames,Adam Ruzicka,SK,C,18,2024,Sarnia Sting (OHL),117,14,26,40,0,32,,,,,,,3.1,ruzicad01
110,Toronto Maple Leafs,Ian Scott,CA,G,18,,Prince Albert Raiders (WHL),,,,,,,,,,,,,,scottia01
111,Boston Bruins,Jeremy Swayman,US,G,18,2026,Sioux Falls Stampede (USHL),245,0,1,1,0,21,245,132,80,26,.910,2.61,46.1,swaymje01
112,Chicago Blackhawks,Tim Soderlund,SE,C/LW,19,,Skelleftea AIK (Sweden),,,,,,,,,,,,,,soderti01
113,St. Louis Blues,Alexey Toropchenko,RU,RW,18,2026,HK MVD Balashikha (Russia Jr.),324,34,37,71,-18,110,,,,,,,3.2,toropal01
114,Colorado Avalanche,Petr Kvaca,CZ,G,20,,HC Motor Ceske Budejovice (Czech-2),,,,,,,,,,,,,,kvacape01
115,Edmonton Oilers,Ostap Safin,CZ,RW,18,,HC Sparta Praha Jr. (Czech Jr.),,,,,,,,,,,,,,safinos01
116,Minnesota Wild,Bryce Misley,CA,C,18,,Oakville (OJHL),,,,,,,,,,,,,,mislebr01
117,Columbus Blue Jackets,Emil Bemstrom,SE,C,18,2025,Leksands IF Jr. (Sweden Jr.),242,34,41,75,-25,30,,,,,,,5.5,bemstem01
118,Los Angeles Kings,Markus Phillips,CA,D,18,,Owen Sound Attack (OHL),,,,,,,,,,,,,,phillma02
119,Chicago Blackhawks,Roope Laavainen,FI,D,19,,Jokerit Jr. (Finland Jr.),,,,,,,,,,,,,,laavaro01
120,Washington Capitals,Tobias Geisser,CH,D,18,,EVZ Academy (Swiss-2),,,,,,,,,,,,,,geissto01
121,Ottawa Senators,Drake Batherson,US,C,19,2026,Cape Breton Screaming Eagles (QMJHL),470,149,215,364,-87,197,,,,,,,34.5,bathedr01
122,Anaheim Ducks,Kyle Olson,CA,RW,18,,Tri-City Americans (WHL),,,,,,,,,,,,,,olsonky01
123,New York Rangers,Brandon Crawley,US,D,20,,London Knights (OHL),,,,,,,,,,,,,,crawlbr01
124,Toronto Maple Leafs,Vladislav Kara,RU,LW,19,,Bars Kazan (Russia-2),,,,,,,,,,,,,,karavl01
125,Colorado Avalanche,Igor Shvyrev,RU,C,19,,Stalnye Lisy Magnitogorsk (Russia Jr.),,,,,,,,,,,,,,shvyrig01
126,Arizona Coyotes,Michael Karow,US,D,18,,Youngstown Phantoms (USHL),,,,,,,,,,,,,,karowmi01
127,Vegas Golden Knights,Lucas Elvenes,SE,C RW,18,,Rogle BK Jr. (Sweden Jr.),,,,,,,,,,,,,,elvenlu01
128,Arizona Coyotes,Tyler Steenbergen,CA,C,19,,Swift Current Broncos (WHL),,,,,,,,,,,,,,steenty01
129,New Jersey Devils,Gilles Senn,CH,G,21,2020,HC Davos (Swiss),2,0,0,0,0,0,2,0,1,0,.902,3.42,0.2,senngi01
130,St. Louis Blues,David Noel,CA,D,18,,Val-d'Or Foreurs (QMJHL),,,,,,,,,,,,,,noelda01
