Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
218,Seattle Kraken,Loke Krantz,SE,RW,18,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,,,krantlo01
219,Buffalo Sabres,Ryan Rucinski,US,C,18,,Youngstown (USHL),,,,,,,,,,,,,,rucinry01
220,Winnipeg Jets,Jacob Cloutier,CA,RW,18,,Saginaw Spirit (OHL),,,,,,,,,,,,,,cloutja02
221,Carolina Hurricanes,Filip Ekberg,SE,RW,18,,Ottawa 67's (OHL),,,,,,,,,,,,,,ekberfi01
222,Dallas Stars,Charlie Paquette,CA,RW,19,,Guelph Storm (OHL),,,,,,,,,,,,,,paquech02
223,Edmonton Oilers,Aidan Park,US,C,19,,Green Bay (USHL),,,,,,,,,,,,,,parkai01
224,Florida Panthers,Yegor Midlak,RU,G,18,,Spartak Jr. (Russia-Jr.),,,,,,,,,,,,,,midlaye01


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Hockey-Reference.com</a>: <a href="https://www.hockey-reference.com/draft/NHL_2025_entry.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats">View Original Table</a><br>Generated 4/28/2026.
