Player,Career Earnings (millions),Contract Type,Salary Cap Hit (millions),Signing GM
Marcus Foligno,38.76,STD,4.000,Bill Guerin
Erik Gudbranson,44.63,STD,4.000,Jarmo Kekalainen
Nino Niederreiter,53.34,STD,4.000,Kevin Cheveldayoff
Radko Gudas,37.65,STD,4.000,Pat Verbeek
John Klingberg,48.37,STD,4.000,Mike Grier
Brenden Dillon,44.41,STD,4.000,Tom Fitzgerald
Jonathan Drouin,42.99,STD,4.000,Mathieu Darche
Ryan Hartman,21.34,STD,4.000,Bill Guerin
Ryan Donato,16.50,STD,4.000,Kyle Davidson
Viktor Arvidsson,39.62,STD,4.000,Jeff Jackson
Jordan Greenway,19.90,STD,4.000,Kevyn Adams
Ross Colton,14.64,STD,4.000,Chris MacFarland
Johnathan Kovacevic,7.58,STD,4.000,Tom Fitzgerald
Noah Cates,11.30,STD,4.000,Daniel Briere
Thomas Harley,9.34,STD,4.000,Jim Nill
Dawson Mercer,10.41,STD,4.000,Tom Fitzgerald
William Cuylle,4.79,STD,3.900,Chris Drury
Kirill Marchenko,9.13,STD,3.850,Don Waddell
Joel Edmundson,33.40,STD,3.850,Rob Blake
Trent Frederic,11.49,STD,3.850,Stan Bowman
Connor Zary,5.38,STD,3.775,Craig Conroy
Shane Pinto,10.31,STD,3.750,Steve Staios
Tyson Foerster,5.28,STD,3.750,Daniel Briere
Jake Neighbours,5.82,STD,3.750,Doug Armstrong
Boone Jenner,38.12,STD,3.750,Jarmo Kekalainen
Max Domi,34.47,STD,3.750,Brad Treliving
Alexandre Carrier,13.53,STD,3.750,Barry Trotz
Alex Iafallo,26.68,STD,3.667,Kevin Cheveldayoff
Brayden McNabb,30.02,STD,3.650,Kelly McCrimmon
Barclay Goodrow,24.36,STD,3.642,Chris Drury
Simon Holmström,5.80,STD,3.625,Mathieu Darche
Sean Walker,20.79,STD,3.600,Eric Tulsky
Andrew Mangiapane,28.39,STD,3.600,Stan Bowman
Oliver Ekman-Larsson,106.65,STD,3.500,Brad Treliving
Scott Mayfield,21.76,STD,3.500,Lou Lamoriello
Olli Määttä,38.91,STD,3.500,Bill Armstrong
Anthony Duclair,23.50,STD,3.500,Lou Lamoriello
Nate Schmidt,49.03,STD,3.500,Bill Armstrong
Warren Foegele,20.11,STD,3.500,Rob Blake
Yakov Trenin,14.01,STD,3.500,Bill Guerin
Thomas Novak,8.53,STD,3.500,Barry Trotz
Eeli Tolvanen,11.96,STD,3.475,Ron Francis
Matias Maccelli,11.34,STD,3.425,Bill Armstrong
Tanner Jeannot,11.31,STD,3.400,Don Sweeney
