Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,upload
115,Vegas Golden Knights,Paul Cotter,US,C,18,2026,Lincoln Stars (USHL),296,47,35,82,-53,143,,,,,,,5.2,cottepa01
116,Anaheim Ducks,Jackson Perbix,US,RW,18,,Elk River HS (High-MN),,,,,,,,,,,,,,perbija01
117,Buffalo Sabres,Linus Lindstrand Cronholm,SE,D,18,,Malmo Jr. (Sweden Jr.),,,,,,,,,,,,,,lindsli03
118,Toronto Maple Leafs,Mac Hollowell,CA,D,19,2023,Soo Greyhounds (OHL),6,0,2,2,3,2,,,,,,,0.5,holloma01
119,Boston Bruins,Curtis Hall,US,C,18,,Youngstown Phantoms (USHL),,,,,,,,,,,,,,hallcu01
120,Chicago Blackhawks,Philipp Kurashev,CH,C,18,2026,Quebec Remparts (QMJHL),360,55,95,150,-128,91,,,,,,,7.7,kurasph01
121,Tampa Bay Lightning,Alexander Green,US,D,20,,Cornell (ECAC),,,,,,,,,,,,,,greenal01
122,Calgary Flames,Milos Roman,SK,C,18,,Vancouver Giants (WHL),,,,,,,,,,,,,,romanmi01
123,Montreal Canadiens,Jack Gorniak,US,LW,19,,West Salem HS (High-WI),,,,,,,,,,,,,,gornija01
124,Washington Capitals,Mitchell Gibson,US,G,19,,Lone Star Brahmas (NAHL),,,,,,,,,,,,,,gibsomi01
125,Buffalo Sabres,Miska Kukkonen,FI,D,18,,Ilves Jr. (Finland Jr.),,,,,,,,,,,,,,kukkomi01
126,Ottawa Senators,Angus Crookshank,CA,LW,18,2026,Langley (BCHL),29,3,2,5,-3,8,,,,,,,0.2,crookan01
127,Philadelphia Flyers,Wyatte Wylie,US,D,18,,Everett Silvertips (WHL),,,,,,,,,,,,,,wyliewy01
128,Montreal Canadiens,Cole Fonstad,CA,C,18,,Prince Albert Raiders (WHL),,,,,,,,,,,,,,fonstco01
129,Pittsburgh Penguins,Justin Almeida,CA,C,19,,Moose Jaw Warriors (WHL),,,,,,,,,,,,,,almeiju01
130,Vancouver Canucks,Toni Utunen,FI,D,18,,Leki (Finland-2),,,,,,,,,,,,,,utuneto01
131,Nashville Predators,Spencer Stastney,US,D,18,2026,USA U-18 Development Team (USDP/USHL),117,4,15,19,-4,30,,,,,,,4.0,stastsp01
132,New York Rangers,Lauri Pajuniemi,FI,RW,19,,TPS (Finland),,,,,,,,,,,,,,pajunla01
133,Montreal Canadiens,Samuel Houde,CA,C,18,,Chicoutimi Sagueneens (QMJHL),,,,,,,,,,,,,,houdesa01
134,New York Islanders,Blade Jenkins,US,LW,18,,Saginaw Spirit (OHL),,,,,,,,,,,,,,jenkibl01
135,Vegas Golden Knights,Brandon Kruse,US,LW,19,,Bowling Green (WCHA),,,,,,,,,,,,,,krusebr01
136,New Jersey Devils,Akira Schmid,CH,G,18,2026,Langnau Jr. (Swiss Jr.),82,0,3,3,0,2,82,32,28,10,.898,2.66,10.8,schmiak01
137,Dallas Stars,Riley Damiani,CA,C,18,2022,Kitchener Rangers (OHL),7,1,1,2,0,2,,,,,,,0.2,damiari01
138,St. Louis Blues,Hugh McGing,US,LW,20,2026,Western Michigan (NCHC),9,1,1,2,-5,0,,,,,,,0.0,mcginhu01
139,Chicago Blackhawks,Mikael Hakkarainen,FI,C,20,,Muskegon Lumberjacks (USHL),,,,,,,,,,,,,,hakkami01
140,Colorado Avalanche,Brandon Saigeon,CA,C,20,,Hamilton Bulldogs (OHL),,,,,,,,,,,,,,saigebr01
141,New Jersey Devils,Yegor Sharangovich,BY,C,20,2026,Dinamo Minsk (Russia),438,116,110,226,-79,71,,,,,,,19.5,sharaye01
142,Arizona Coyotes,Michael Callahan,US,D,18,2026,Youngstown Phantoms (USHL),22,1,0,1,-6,7,,,,,,,0.0,callami02
143,Philadelphia Flyers,Samuel Ersson,SE,G,18,2026,Brynas IF Jr. (Sweden Jr.),143,0,1,1,0,8,143,65,50,17,.884,3.01,14.8,erssosa01
144,Los Angeles Kings,David Hrenak,SK,G,20,,St. Cloud State (NCHC),,,,,,,,,,,,,,hrenada01
145,Arizona Coyotes,Dennis Busby,CA,D,18,,Flint Firebirds (OHL),,,,,,,,,,,,,,busbyde01
146,Colorado Avalanche,Danila Zhuravlyov,RU,D,18,,Irbis Kazan (Russia Jr.),,,,,,,,,,,,,,zhurada01
147,Anaheim Ducks,Roman Durny,SK,G,20,,Des Moines Buccaneers (USHL),,,,,,,,,,,,,,durnyro01
148,Minnesota Wild,Simon Johansson,SE,D,19,,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,,,,johansi01
149,Toronto Maple Leafs,Filip Kral,CZ,D,18,2023,Spokane Chiefs (WHL),2,0,0,0,0,2,,,,,,,0.0,kralfi01
150,Winnipeg Jets,Declan Chisholm,CA,D,18,2026,Peterborough Petes (OHL),125,6,22,28,-8,32,,,,,,,4.7,chishde01
151,Nashville Predators,Vladislav Yeryomenko,BY,D,19,,Calgary Hitmen (WHL),,,,,,,,,,,,,,yeryovl01
152,Tampa Bay Lightning,Magnus Chrona,SE,G,18,2024,Nacka HK Jr. (Sweden Jr.),9,0,0,0,0,0,9,1,6,1,.859,4.71,0.3,chronma01
153,Winnipeg Jets,Giovanni Vallati,CA,D,18,,Kitchener Rangers (OHL),,,,,,,,,,,,,,vallagi01
154,Vegas Golden Knights,Connor Corcoran,CA,D,18,,Windsor Spitfires (OHL),,,,,,,,,,,,,,corcoco01
155,Minnesota Wild,Damien Giroux,CA,C,18,2023,Saginaw Spirit (OHL),1,0,1,1,0,2,,,,,,,0.1,girouda01
156,Toronto Maple Leafs,Pontus Holmberg,SE,RW,19,2026,VIK Vasteras HK (Sweden-3),229,30,41,71,16,94,,,,,,,5.5,holmbpo01
157,Ottawa Senators,Kevin Mandolese,CA,G,18,2023,Cape Breton Screaming Eagles (QMJHL),3,0,0,0,0,0,3,1,2,0,.916,3.29,0.8,mandoke01
158,Arizona Coyotes,David Tendeck,CA,G,18,,Vancouver Giants (WHL),,,,,,,,,,,,,,tendeda01
159,Columbus Blue Jackets,Tim Berni,CH,D,18,2023,GC Kusnacht Lions (Swiss-2),59,1,2,3,-26,34,,,,,,,-0.3,berniti01
160,Detroit Red Wings,Victor Brattstrom,SE,G,21,,Timra IK (Sweden-2),,,,,,,,,,,,,,brattvi01
161,Washington Capitals,Alex Kannok-Leipert,TH,D,18,,Vancouver Giants (WHL),,,,,,,,,,,,,,kannoal01
162,Chicago Blackhawks,Alexis Gravel,DE,G,18,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,,,graveal01
163,New York Rangers,Simon Kjellberg,US,D,18,,Rogle BK Jr. (Sweden Jr.),,,,,,,,,,,,,,kjellsi01
